Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Genre,Style,Votes,Comments,Weighted Rating
PRY007,Pryda,Rymd / Armed,Pryda Recordings,"12""",4.46,2007,960113,House,2024-12-08 06:02:06,,,,Electronic,Electro House,194,0,4.437174414547147
"COR12""043",Pig & Dan,Deliverance,Cocoon Recordings,"12""",4.48,2008,1193133,minimal,2024-12-09 03:46:39,,,,Electronic,"Techno, Minimal, Tech House",95,0,4.433874112163362
Room 006,Peter Jürgens,#1,Room Recordings,"12""",4.46,2006,747446,minimal,2024-12-07 10:52:42,,,,Electronic,"Tech House, Minimal",145,0,4.430140114627714
12BC,Petter (5),Some Polyphony,Border Community,"12""",4.44,2006,724699,Uncategorized,2024-12-10 13:01:06,,,,Electronic,"Electro, Experimental, Tech House, Ambient",371,0,4.428395527859238
Bed59,Terry Grant Feat. Jennifer Horne,I'll Kill You,Bedrock Records,"12""",4.5,2005,476559,progressive house,2024-12-08 04:02:24,,,,Electronic,Progressive House,58,0,4.4262816420250894
SYST 0019-6,Marc Romboy vs. Stephan Bodzin,Ferdinand / Phobos,Systematic (3),"12""",4.46,2006,660653,Uncategorized,2024-12-10 12:12:43,,,,Electronic,"Progressive House, Electro, Tech House",125,0,4.425843728243212
irc086,Various,In The Barbershop,Ibadan,"12"", Promo",4.49,2008,1239974,Uncategorized,2025-01-22 04:40:06,,,,Electronic,"House, Tech House",63,0,4.422886730205279
PW11,Bvoice & Khz,Primus E.P.,PulseWith Records,"12"", EP",4.89,2007,1011608,minimal,2024-12-09 05:36:56,,,,Electronic,"Techno, Minimal",9,0,4.421838183730715
MAU 011,Criss Source,Hugs 'n Kisses / Neo Tokio,Mauritius,"12""",4.45,2004,390831,Uncategorized,2024-12-10 10:22:18,,,,Electronic,Progressive House,145,0,4.421020617772368
EXX010,Electrixx,Tetris EP,EXX Records,"12"", EP",4.57,2009,1814577,Uncategorized,2024-12-10 13:22:04,,,,Electronic,"Techno, Electro, Tech House",28,0,4.420292338709678
Form Music 02,Popof,High & Down EP,Form Music,"12"", EP",4.53,2009,1835594,Uncategorized,2025-01-22 04:44:08,,,,Electronic,"Techno, Minimal",38,0,4.419851504342432
TRAUM V80,Minilogue,The Leopard (Rmx),Traum Schallplatten,"12""",4.44,2007,869888,minimal,2024-12-07 09:24:58,,,,Electronic,Minimal Techno,186,0,4.417661391129033
